,fidelity
TR_0.0_25,0.9999999999999988
TR_0.0_35,0.9999999999999988
TR_0.0_45,0.9999999999999973
TR_0.0_55,0.9999999999999958
TR_0.0_65,0.9999999999999958
TR_0.0_75,0.9999999999999952
TR_0.0_85,0.9999999999999943
TR_0.0_95,0.9999999999999947
TR_0.0_105,0.9999999999999917
TR_0.0_115,0.9999999999999926
TR_0.0_125,0.9999999999999928
TR_0.0_135,0.9999999999999901
TR_0.0_145,0.9999999999999898
TR_0.0_155,0.9999999999999887
TR_0.0_165,0.9999999999999907
TR_0.0_175,0.9999999999999868
TR_0.0_185,0.9999999999999877
TR_0.0_195,0.9999999999999869
TR_0.0_205,0.9999999999999856
TR_0.0_215,0.9999999999999855
TR_0.0_300,0.9999999999999803
TR_0.0_500,0.999999999999967
TR_0.0_700,0.999999999999949
TR_0.0_900,0.9999999999999352
TR_2.7e-05_25,0.9393998073868778
TR_2.7e-05_35,0.8995570346560653
TR_2.7e-05_45,0.8146889198424548
TR_2.7e-05_55,0.8500882525251785
TR_2.7e-05_65,0.7740227891783332
TR_2.7e-05_75,0.7975656287177125
TR_2.7e-05_85,0.693818983740414
TR_2.7e-05_95,0.6785649951151681
TR_2.7e-05_105,0.6207877416251208
TR_2.7e-05_115,0.5972218599641567
TR_2.7e-05_125,0.562715073158357
TR_2.7e-05_135,0.5634529155257896
TR_2.7e-05_145,0.5858156446261086
TR_2.7e-05_155,0.5229844511474928
TR_2.7e-05_165,0.5093312438143033
TR_2.7e-05_175,0.5016634006652855
TR_2.7e-05_185,0.4610187198048084
TR_2.7e-05_195,0.4478636239234461
TR_2.7e-05_205,0.4191524808607851
TR_2.7e-05_215,0.4197454395530394
TR_2.7e-05_300,0.2576415595773694
TR_2.7e-05_500,0.1280278203649532
TR_2.7e-05_700,0.049236171922324184
TR_2.7e-05_900,0.024201742598229836
TR_8e-05_25,0.9290813631858948
TR_8e-05_35,0.8880460030987232
TR_8e-05_45,0.8586234253338475
TR_8e-05_55,0.8123508607859317
TR_8e-05_65,0.7877973582513533
TR_8e-05_75,0.767097611051101
TR_8e-05_85,0.7321327685720886
TR_8e-05_95,0.6742715586941018
TR_8e-05_105,0.6506127012876949
TR_8e-05_115,0.5593178405283687
TR_8e-05_125,0.6071376591434288
TR_8e-05_135,0.5523977187372836
TR_8e-05_145,0.5479514522753735
TR_8e-05_155,0.5196206979333843
TR_8e-05_165,0.5041357962561207
TR_8e-05_175,0.4637440312948969
TR_8e-05_185,0.4422782255440881
TR_8e-05_195,0.473574248730301
TR_8e-05_205,0.4078626992977618
TR_8e-05_215,0.4073187175266992
TR_8e-05_300,0.2694694742295045
TR_8e-05_500,0.1260848172611668
TR_8e-05_700,0.05075139698184747
TR_8e-05_900,0.020130405653844247
TR_0.00016_25,0.9117016754837436
TR_0.00016_35,0.9050074016463459
TR_0.00016_45,0.895827743067439
TR_0.00016_55,0.8159214295994656
TR_0.00016_65,0.7926277837398903
TR_0.00016_75,0.7313483804567961
TR_0.00016_85,0.7346026214020721
TR_0.00016_95,0.7186317227404779
TR_0.00016_105,0.6446381466435295
TR_0.00016_115,0.6523398108298225
TR_0.00016_125,0.5532420142951615
TR_0.00016_135,0.5927841025403929
TR_0.00016_145,0.5157394961739882
TR_0.00016_155,0.5130921112947062
TR_0.00016_165,0.5080716078142894
TR_0.00016_175,0.44816724966518634
TR_0.00016_185,0.42500738052650844
TR_0.00016_195,0.4123753860428052
TR_0.00016_205,0.39150281479522725
TR_0.00016_215,0.3755889638083727
TR_0.00016_300,0.2818779550274505
TR_0.00016_500,0.10084525469786171
TR_0.00016_700,0.05266766824132238
TR_0.00016_900,0.020178245327382292
TR_0.0008_25,0.9393475339709462
TR_0.0008_35,0.9041161302559514
TR_0.0008_45,0.8156656635892302
TR_0.0008_55,0.7868269980108901
TR_0.0008_65,0.8202518528966177
TR_0.0008_75,0.7733900721594713
TR_0.0008_85,0.6810942998870941
TR_0.0008_95,0.6583562785932094
TR_0.0008_105,0.6608664317386563
TR_0.0008_115,0.6384449849332987
TR_0.0008_125,0.6137684996125098
TR_0.0008_135,0.5572694985152443
TR_0.0008_145,0.5332702856389558
TR_0.0008_155,0.5147447237220396
TR_0.0008_165,0.5582036825720175
TR_0.0008_175,0.47664044980504333
TR_0.0008_185,0.4999490887708608
TR_0.0008_195,0.47806888605646597
TR_0.0008_205,0.46749609250979113
TR_0.0008_215,0.39613411756522776
TR_0.0008_300,0.2751083632307986
TR_0.0008_500,0.1210060264813918
TR_0.0008_700,0.049392298236305504
TR_0.0008_900,0.0189144398150891
