,MSE1,MSE2
TR_0.0_25,7.38773443598243e-05,0.00023164090499238542
TR_0.0_35,7.649724610766709e-05,0.00015331403075893329
TR_0.0_45,8.166219971130381e-05,0.0003001292841275333
TR_0.0_55,0.00011084267613952427,0.00026468730094350134
TR_0.0_65,9.96176098221753e-05,0.0003182659072486113
TR_0.0_75,0.00013901652953242344,0.0004154822512564296
TR_0.0_85,9.842047385503732e-05,0.00028366089836294705
TR_0.0_95,3.4362154998165325e-05,5.182188003968544e-05
TR_0.0_105,4.0261622021703845e-06,5.2772597478425395e-06
TR_0.0_115,4.647877240231583e-06,2.206793587237549e-06
TR_0.0_125,2.29057472392416e-05,5.997008383057664e-05
TR_0.0_135,2.8872847654184503e-06,2.9721142712285207e-06
TR_0.0_145,2.2523911689579803e-06,3.2085821550868868e-06
TR_0.0_155,1.6065289129302008e-06,4.423409492728636e-06
TR_0.0_165,1.5970574057731222e-06,2.5732245737912968e-06
TR_0.0_175,1.970979160016818e-06,3.9682750589835905e-06
TR_0.0_185,2.5590487992124495e-06,4.905334942298229e-06
TR_0.0_195,1.4791086953333738e-06,4.631080344206033e-06
TR_0.0_205,1.5636353832641556e-06,4.230874462141099e-06
TR_0.0_215,1.494068666187146e-06,4.443689646640101e-06
TR_0.0_300,2.640578569294727e-06,6.735388285079379e-06
TR_0.0_500,2.434910238244718e-06,6.080656882931362e-06
TR_0.0_700,1.636991394485643e-06,5.341041642722026e-06
TR_0.0_900,2.1447895606949008e-06,5.624474038151795e-06
TR_2.7e-05_25,1.4406337913225339e-05,5.492355502035749e-05
TR_2.7e-05_35,1.617033549644808e-05,0.00010138251847892382
TR_2.7e-05_45,9.828272027777788e-05,0.00021040172652449075
TR_2.7e-05_55,3.115763605342054e-05,3.2302740720145305e-05
TR_2.7e-05_65,5.450248853385293e-05,0.0001583924678643615
TR_2.7e-05_75,6.541265325599141e-06,1.3452598332880474e-05
TR_2.7e-05_85,1.8592441791252315e-05,2.237095286286822e-06
TR_2.7e-05_95,5.915950253531037e-06,1.8232184718426904e-06
TR_2.7e-05_105,3.5460798874416864e-06,1.566069618788213e-06
TR_2.7e-05_115,2.009954396190065e-06,1.6465819056732416e-06
TR_2.7e-05_125,1.8452553334906078e-06,1.8813961880086351e-06
TR_2.7e-05_135,1.5911900133652563e-06,1.457422851627186e-06
TR_2.7e-05_145,2.4650814063871995e-06,1.5330314488150332e-06
TR_2.7e-05_155,2.5268491423808246e-06,1.4491180370034488e-06
TR_2.7e-05_165,1.9733435334819707e-06,1.4049667837105814e-06
TR_2.7e-05_175,1.4342368463501795e-06,1.605875965607615e-06
TR_2.7e-05_185,2.2778913271206563e-06,1.4523943906436638e-06
TR_2.7e-05_195,1.7738949118705255e-06,1.5410849117252944e-06
TR_2.7e-05_205,2.444228315399908e-06,1.1259528904592501e-06
TR_2.7e-05_215,1.7805105024692653e-06,1.392324046890184e-06
TR_2.7e-05_300,2.7466541077020797e-06,1.6028778340703478e-06
TR_2.7e-05_500,5.718408234798056e-06,1.9019046554599082e-06
TR_2.7e-05_700,7.3662150933400315e-06,2.2808382408435013e-06
TR_2.7e-05_900,6.559348580183151e-06,1.7472467869960801e-06
TR_8e-05_25,2.8621044114903197e-05,0.00014544226626646002
TR_8e-05_35,1.602933074420751e-05,0.00011749717905502602
TR_8e-05_45,5.3623142413231284e-05,0.0001443691574387162
TR_8e-05_55,1.4228159403293598e-05,7.201622456483752e-05
TR_8e-05_65,6.035781719582842e-06,6.607234359324637e-05
TR_8e-05_75,2.9882362094828713e-05,6.807645391526626e-05
TR_8e-05_85,7.2220802865890484e-06,3.4184705835959212e-06
TR_8e-05_95,9.528445554520724e-06,4.3328842831336875e-06
TR_8e-05_105,4.15187681038339e-06,1.9833635494425135e-06
TR_8e-05_115,2.9457268981358937e-06,2.43922551950192e-06
TR_8e-05_125,1.0722635920962546e-05,4.967044335203018e-06
TR_8e-05_135,1.5860337685632282e-06,1.0936141263015994e-06
TR_8e-05_145,2.482767254725406e-06,1.068424538286581e-06
TR_8e-05_155,9.370147268709943e-07,2.2863462001440997e-06
TR_8e-05_165,1.8287744805073568e-06,1.7658940563600194e-06
TR_8e-05_175,2.035343942110553e-06,1.4066112850215957e-06
TR_8e-05_185,1.6614279166480938e-06,1.3293739620075648e-06
TR_8e-05_195,1.843713991495406e-06,1.1410964295240722e-06
TR_8e-05_205,1.1277681405235408e-06,2.063455072000648e-06
TR_8e-05_215,1.8710060785477396e-06,1.4558878936749575e-06
TR_8e-05_300,2.2368216346739268e-06,1.318788693081994e-06
TR_8e-05_500,4.8334303362741525e-06,2.2044652904589296e-06
TR_8e-05_700,7.142000892865532e-06,2.498029042428399e-06
TR_8e-05_900,1.0183735253665652e-05,1.036854531092897e-06
TR_0.00016_25,1.7029448407275628e-05,6.564266628473353e-05
TR_0.00016_35,1.4123329254101588e-05,0.00022851119588253812
TR_0.00016_45,4.1044232939873095e-05,0.00020169200714699
TR_0.00016_55,3.839549849391849e-05,9.517331132552992e-06
TR_0.00016_65,2.3351475025417304e-05,5.012520535538891e-05
TR_0.00016_75,1.029483438893382e-05,9.729443468454515e-06
TR_0.00016_85,7.17958214537156e-06,1.8476666898818383e-05
TR_0.00016_95,6.1601332999372905e-06,4.852572861572736e-06
TR_0.00016_105,3.401887120979579e-06,2.025609090592826e-06
TR_0.00016_115,4.299524648992536e-06,1.8369966730847866e-06
TR_0.00016_125,1.5656802864858235e-06,1.7851379394861873e-06
TR_0.00016_135,3.486300199853612e-06,2.0629492036376596e-06
TR_0.00016_145,2.9664172066396327e-06,1.4614640258327532e-06
TR_0.00016_155,8.641765206999449e-07,1.977078579338256e-06
TR_0.00016_165,1.1474477385091553e-06,2.1160341783183525e-06
TR_0.00016_175,1.932269390770099e-06,1.4851667874349183e-06
TR_0.00016_185,1.1088978421086367e-06,1.8314640893732627e-06
TR_0.00016_195,2.062592189548539e-06,1.518505543621171e-06
TR_0.00016_205,2.012878854227149e-06,1.45725636739153e-06
TR_0.00016_215,2.412293013673067e-06,1.513737643104715e-06
